# temp, max_i
0.000000000000000000e+00,1.144363511783997580e-03
1.000000000000000000e+00,2.465533595699909326e-03
2.000000000000000000e+00,3.786703679615821723e-03
3.000000000000000000e+00,5.107873763531733252e-03
4.000000000000000000e+00,6.429043847447645649e-03
5.000000000000000000e+00,7.750213931363558045e-03
6.000000000000000000e+00,9.071384015279468707e-03
7.000000000000000000e+00,1.039255409919538110e-02
8.000000000000000000e+00,1.171372418311129350e-02
9.000000000000000000e+00,1.303489426702720590e-02
1.000000000000000000e+01,1.435606435094311829e-02
1.100000000000000000e+01,1.567723443485902896e-02
1.200000000000000000e+01,1.699840451877493788e-02
1.300000000000000000e+01,1.831957460269085028e-02
1.400000000000000000e+01,1.964074468660676268e-02
