# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
3.000000000000000000e+00,-1.627737388215682235e-04
3.997997997997997821e+00,-1.708057514540274775e-04
4.995995995995995642e+00,-1.779381218596485549e-04
5.993993993993994351e+00,-1.842767505344291299e-04
6.991991991991992172e+00,-1.899150651012683163e-04
7.989989989989989994e+00,-1.949354893635011948e-04
8.987987987987988703e+00,-1.994107393334688125e-04
9.985985985985987412e+00,-2.034049666149846886e-04
1.098398398398398434e+01,-2.069747671183398393e-04
1.198198198198198305e+01,-2.101700709689643498e-04
1.297997997997997999e+01,-2.130349276027440945e-04
1.397797797797797870e+01,-2.156081983928971081e-04
1.497597597597597741e+01,-2.179241676993320508e-04
1.597397397397397434e+01,-2.200130819486804490e-04
1.697197197197197482e+01,-2.219016252215408693e-04
1.796996996996996998e+01,-2.236133388251107111e-04
1.896796796796796869e+01,-2.251689914485982243e-04
1.996596596596596740e+01,-2.265869057217715916e-04
2.096396396396396611e+01,-2.278832463114769248e-04
2.196196196196196126e+01,-2.290722740861811922e-04
2.295995995995995997e+01,-2.301665703450416129e-04
2.395795795795795868e+01,-2.311772346373013954e-04
2.495595595595595739e+01,-2.321140592825375994e-04
2.595395395395395610e+01,-2.329856833359340677e-04
2.695195195195195481e+01,-2.337997284195411857e-04
2.794994994994994997e+01,-2.345629185553448049e-04
2.894794794794794868e+01,-2.352811858844094809e-04
2.994594594594594739e+01,-2.359597639344331228e-04
3.094394394394394610e+01,-2.366032699022585267e-04
3.194194194194194480e+01,-2.372157772451606323e-04
3.293993993993993996e+01,-2.378008797223394970e-04
3.393793793793793867e+01,-2.383617478936136068e-04
3.493593593593593738e+01,-2.389011789637033082e-04
3.593393393393393609e+01,-2.394216407558597990e-04
3.693193193193193480e+01,-2.399253105062857131e-04
3.792992992992993351e+01,-2.404141090893523983e-04
3.892792792792793222e+01,-2.408897312117757434e-04
3.992592592592593093e+01,-2.413536720505244206e-04
4.092392392392392253e+01,-2.418072507533195544e-04
4.192192192192192124e+01,-2.422516311712470173e-04
4.291991991991991995e+01,-2.426878401494860621e-04
4.391791791791791866e+01,-2.431167836637569690e-04
4.491591591591591737e+01,-2.435392610562209931e-04
4.591391391391391608e+01,-2.439559775946767233e-04
4.691191191191191479e+01,-2.443675555525361034e-04
4.790990990990991349e+01,-2.447745439838024052e-04
4.890790790790791220e+01,-2.451774273467521295e-04
4.990590590590591091e+01,-2.455766331119209160e-04
5.090390390390390962e+01,-2.459725384740221081e-04
5.190190190190190123e+01,-2.463654762733354033e-04
5.289989989989989994e+01,-2.467557402196764930e-04
5.389789789789789864e+01,-2.471435895010870663e-04
5.489589589589589735e+01,-2.475292528497146575e-04
5.589389389389389606e+01,-2.479129321288133523e-04
5.689189189189189477e+01,-2.482948054972682560e-04
5.788988988988989348e+01,-2.486750302014024278e-04
5.888788788788789219e+01,-2.490537450379658397e-04
5.988588588588589090e+01,-2.494310725270330897e-04
6.088388388388388961e+01,-2.498071208289781727e-04
6.188188188188188121e+01,-2.501819854356679440e-04
6.287987987987987992e+01,-2.505557506624674774e-04
6.387787787787787863e+01,-2.509284909645168515e-04
6.487587587587587734e+01,-2.513002720979774871e-04
6.587387387387387605e+01,-2.516711521445068149e-04
6.687187187187187476e+01,-2.520411824150711072e-04
6.786986986986987347e+01,-2.524104082473066241e-04
6.886786786786787218e+01,-2.527788697089683608e-04
6.986586586586587089e+01,-2.531466022185268824e-04
7.086386386386386960e+01,-2.535136370926707435e-04
7.186186186186186831e+01,-2.538800020293251690e-04
7.285985985985986702e+01,-2.542457215337801005e-04
7.385785785785786572e+01,-2.546108172946298176e-04
7.485585585585586443e+01,-2.549753085154336904e-04
7.585385385385386314e+01,-2.553392122073150231e-04
7.685185185185186185e+01,-2.557025434470971232e-04
7.784984984984984635e+01,-2.560653156050362277e-04
7.884784784784784506e+01,-2.564275405457326217e-04
7.984584584584584377e+01,-2.567892288053780160e-04
8.084384384384384248e+01,-2.571503897481275868e-04
8.184184184184184119e+01,-2.575110317040537515e-04
8.283983983983983990e+01,-2.578711620908527417e-04
8.383783783783783861e+01,-2.582307875212161256e-04
8.483583583583583732e+01,-2.585899138975563056e-04
8.583383383383383602e+01,-2.589485464955757908e-04
8.683183183183183473e+01,-2.593066900379931627e-04
8.782982982982983344e+01,-2.596643487595863683e-04
8.882782782782783215e+01,-2.600215264645746628e-04
8.982582582582583086e+01,-2.603782265772428819e-04
9.082382382382382957e+01,-2.607344521866028736e-04
9.182182182182182828e+01,-2.610902060857948686e-04
9.281981981981982699e+01,-2.614454908068485203e-04
9.381781781781782570e+01,-2.618003086513495626e-04
9.481581581581582441e+01,-2.621546617174948831e-04
9.581381381381382312e+01,-2.625085519239613420e-04
9.681181181181182183e+01,-2.628619810309628215e-04
9.780980980980982054e+01,-2.632149506588278673e-04
9.880780780780781924e+01,-2.635674623043892479e-04
9.980580580580580374e+01,-2.639195173554430914e-04
1.008038038038038025e+02,-2.642711171035052827e-04
1.018018018018018012e+02,-2.646222627550654828e-04
1.027997997997997999e+02,-2.649729554415156010e-04
1.037977977977977986e+02,-2.653231962279093358e-04
1.047957957957957973e+02,-2.656729861206899882e-04
1.057937937937937960e+02,-2.660223260745079254e-04
1.067917917917917947e+02,-2.663712169982357879e-04
1.077897897897897934e+02,-2.667196597602745217e-04
1.087877877877877921e+02,-2.670676551932353962e-04
1.097857857857857908e+02,-2.674152040980702183e-04
1.107837837837837895e+02,-2.677623072477151736e-04
1.117817817817817883e+02,-2.681089653903060278e-04
1.127797797797797870e+02,-2.684551792520141825e-04
1.137777777777777857e+02,-2.688009495395490681e-04
1.147757757757757844e+02,-2.691462769423660678e-04
1.157737737737737831e+02,-2.694911621346145572e-04
1.167717717717717818e+02,-2.698356057768556602e-04
1.177697697697697805e+02,-2.701796085175795902e-04
1.187677677677677792e+02,-2.705231709945425255e-04
1.197657657657657779e+02,-2.708662938359473050e-04
1.207637637637637624e+02,-2.712089776614846426e-04
1.217617617617617611e+02,-2.715512230832524214e-04
1.227597597597597598e+02,-2.718930307065656475e-04
