# CH505TF SAXS T-Jumps Second Right Vectors
Double Exponential Decay Fit | Calculated with tr_tjump_saxs_analysis Python package | 25 February 2024time,double_exp_decay_model
3.000000000000000000e+00,2.774622373445275736e-01
3.997997997997997821e+00,2.849490521110638608e-01
4.995995995995995642e+00,2.914478504695363070e-01
5.993993993993994351e+00,2.970960481634363770e-01
6.991991991991992172e+00,3.020119368482128697e-01
7.989989989989989994e+00,3.062973456014566609e-01
8.987987987987988703e+00,3.100399320291719052e-01
9.985985985985987412e+00,3.133151545174605035e-01
1.098398398398398434e+01,3.161879700047973696e-01
1.198198198198198305e+01,3.187142954743545920e-01
1.297997997997997999e+01,3.209422660495933610e-01
1.397797797797797870e+01,3.229133179999630898e-01
1.497597597597597741e+01,3.246631210240706333e-01
1.597397397397397434e+01,3.262223807864610969e-01
1.697197197197197482e+01,3.276175297648904472e-01
1.796996996996996998e+01,3.288713219519830977e-01
1.896796796796796869e+01,3.300033447919155094e-01
1.996596596596596740e+01,3.310304598705759993e-01
2.096396396396396611e+01,3.319671822746190770e-01
2.196196196196196126e+01,3.328260071549016819e-01
2.295995995995995997e+01,3.336176908418965192e-01
2.395795795795795868e+01,3.343514928381112750e-01
2.495595595595595739e+01,3.350353841322826209e-01
2.595395395395395610e+01,3.356762265223640074e-01
2.695195195195195481e+01,3.362799269820290204e-01
2.794994994994994997e+01,3.368515705439001362e-01
2.894794794794794868e+01,3.373955346893413587e-01
2.994594594594594739e+01,3.379155878185579054e-01
3.094394394394394610e+01,3.384149740165548481e-01
3.194194194194194480e+01,3.388964860221693742e-01
3.293993993993993996e+01,3.393625280419600987e-01
3.393793793793793867e+01,3.398151698222517947e-01
3.493593593593593738e+01,3.402561931959426911e-01
3.593393393393393609e+01,3.406871321513657014e-01
3.693193193193193480e+01,3.411093073247439822e-01
3.792992992992993351e+01,3.415238556923105850e-01
3.892792792792793222e+01,3.419317561301608022e-01
3.992592592592593093e+01,3.423338514169235181e-01
4.092392392392392253e+01,3.427308671743096724e-01
4.192192192192192124e+01,3.431234281716936119e-01
4.291991991991991995e+01,3.435120723615762151e-01
4.391791791791791866e+01,3.438972629617259580e-01
4.491591591591591737e+01,3.442793988558405793e-01
4.591391391391391608e+01,3.446588235467436534e-01
4.691191191191191479e+01,3.450358328635599880e-01
4.790990990990991349e+01,3.454106815962787458e-01
4.890790790790791220e+01,3.457835892069817674e-01
4.990590590590591091e+01,3.461547447462362537e-01
5.090390390390390962e+01,3.465243110852715969e-01
5.190190190190190123e+01,3.468924285591613588e-01
5.289989989989989994e+01,3.472592181029818814e-01
5.389789789789789864e+01,3.476247839515108629e-01
5.489589589589589735e+01,3.479892159632067550e-01
5.589389389389389606e+01,3.483525916207596551e-01
5.689189189189189477e+01,3.487149777532243533e-01
5.788988988988989348e+01,3.490764320184834846e-01
5.888788788788789219e+01,3.494370041793961601e-01
5.988588588588589090e+01,3.497967372023437216e-01
6.088388388388388961e+01,3.501556682028915679e-01
6.188188188188188121e+01,3.505138292598424243e-01
6.287987987987987992e+01,3.508712481159977914e-01
6.387787787787787863e+01,3.512279487813945167e-01
6.487587587587587734e+01,3.515839520525886330e-01
6.587387387387387605e+01,3.519392759596708387e-01
6.687187187187187476e+01,3.522939361510705192e-01
6.786986986986987347e+01,3.526479462248072183e-01
6.886786786786787218e+01,3.530013180136410966e-01
6.986586586586587089e+01,3.533540618305406333e-01
7.086386386386386960e+01,3.537061866799869891e-01
7.186186186186186831e+01,3.540577004398729466e-01
7.285985985985986702e+01,3.544086100180859900e-01
7.385785785785786572e+01,3.547589214873009267e-01
7.485585585585586443e+01,3.551086402010127374e-01
7.585385385385386314e+01,3.554577708934223423e-01
7.685185185185186185e+01,3.558063177654208764e-01
7.784984984984984635e+01,3.561542845586077588e-01
7.884784784784784506e+01,3.565016746190086683e-01
7.984584584584584377e+01,3.568484909519253345e-01
8.084384384384384248e+01,3.571947362691527128e-01
8.184184184184184119e+01,3.575404130296250815e-01
8.283983983983983990e+01,3.578855234744056091e-01
8.383783783783783861e+01,3.582300696568071485e-01
8.483583583583583732e+01,3.585740534683206082e-01
8.583383383383383602e+01,3.589174766609360967e-01
8.683183183183183473e+01,3.592603408663576081e-01
8.782982982982983344e+01,3.596026476125432914e-01
8.882782782782783215e+01,3.599443983379453926e-01
8.982582582582583086e+01,3.602855944037675062e-01
9.082382382382382957e+01,3.606262371045171333e-01
9.182182182182182828e+01,3.609663276770891382e-01
9.281981981981982699e+01,3.613058673085866035e-01
9.381781781781782570e+01,3.616448571430521675e-01
9.481581581581582441e+01,3.619832982872639437e-01
9.581381381381382312e+01,3.623211918157246969e-01
9.681181181181182183e+01,3.626585387749567957e-01
9.780980980980982054e+01,3.629953401872003660e-01
9.880780780780781924e+01,3.633315970535961892e-01
9.980580580580580374e+01,3.636673103569271204e-01
1.008038038038038025e+02,3.640024810639771458e-01
1.018018018018018012e+02,3.643371101275630908e-01
1.027997997997997999e+02,3.646711984882839430e-01
1.037977977977977986e+02,3.650047470760264812e-01
1.047957957957957973e+02,3.653377568112623486e-01
1.057937937937937960e+02,3.656702286061644380e-01
1.067917917917917947e+02,3.660021633655685114e-01
1.077897897897897934e+02,3.663335619878010929e-01
1.087877877877877921e+02,3.666644253653925656e-01
1.097857857857857908e+02,3.669947543856914018e-01
1.107837837837837895e+02,3.673245499313931850e-01
1.117817817817817883e+02,3.676538128809959116e-01
